"ProgramID","1","CurveVersion","K100"
"ProgramName",""
"DateTime","2020/06/08 15:28:23"
"XAxisUnit","mm"
"YAxisUnit","kN"
"Result","OK","",""
"Tolerance Windows","-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,60000,0,50000,1,4,0,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"ProductSN","580181005"
"ComponentSN",""
"[NormalWindows0MinPositionPoint]","0,0"
"[NormalWindows0MaxPositionPoint]","0,0"
"[NormalWindows0MinForcePoint]","0,0","","","Index","BLANK","Position","Force","Analog","Time","Speed",""
"[NormalWindows0MaxForcePoint]","0,0","","","0","","0.000","0.000","0.000","0.000","0.000",""
"[NormalWindows1MinPositionPoint]","0,0","","","1","","0.051","0.000","0.000","0.284","0.900",""
"[NormalWindows1MaxPositionPoint]","0,0","","","2","","0.106","0.000","0.000","0.294","2.000",""
"[NormalWindows1MinForcePoint]","0,0","","","3","","0.174","0.000","0.000","0.304","3.400",""
"[NormalWindows1MaxForcePoint]","0,0","","","4","","0.245","0.000","0.000","0.314","4.800",""
"[NormalWindows2MinPositionPoint]","0,0","","","5","","0.323","0.000","0.000","0.324","6.200",""
"[NormalWindows2MaxPositionPoint]","0,0","","","6","","0.407","0.000","0.000","0.334","7.000",""
"[NormalWindows2MinForcePoint]","0,0","","","7","","0.492","0.000","0.000","0.344","7.600",""
"[NormalWindows2MaxForcePoint]","0,0","","","8","","0.542","0.000","0.000","0.349","8.000",""
"[NormalWindows3MinPositionPoint]","0,0","","","9","","0.638","0.000","0.000","0.359","8.500",""
"[NormalWindows3MaxPositionPoint]","0,0","","","10","","0.688","0.000","0.000","0.364","8.800",""
"[NormalWindows3MinForcePoint]","0,0","","","11","","0.741","0.000","0.000","0.369","9.100",""
"[NormalWindows3MaxForcePoint]","0,0","","","12","","0.792","0.000","0.000","0.374","9.300",""
"[UpLimitWindowMinPositionPoint]","0,0","","","13","","0.846","0.000","0.000","0.379","9.600",""
"[UpLimitWindowMaxPositionPoint]","0,0","","","14","","0.905","0.000","0.000","0.384","9.900",""
"[UpLimitWindowMinForcePoint]","0,0","","","15","","0.963","0.000","0.000","0.389","10.200",""
"[UpLimitWindowMaxForcePoint]","0,0","","","16","","1.022","0.000","0.000","0.394","10.500",""
"[LowLimitWindowMinPositionPoint]","0,0","","","17","","1.084","0.000","0.000","0.399","10.800",""
"[LowLimitWindowMaxPositionPoint]","0,0","","","18","","1.148","0.000","0.000","0.404","11.100",""
"[LowLimitWindowMinForcePoint]","0,0","","","19","","1.214","0.000","0.000","0.409","11.400",""
"[LowLimitWindowMaxForcePoint]","0,0","","","20","","1.281","0.000","0.000","0.414","11.800",""
"[XMax]","46.331","","","21","","1.351","0.000","0.000","0.419","12.100",""
"[YMax]","19.901","","","22","","1.420","0.000","0.000","0.424","12.500",""
"RelativeWin0Value","0","0","","23","","1.500","0.000","0.000","0.429","13.000",""
"RelativeWin1Value","0","0","","24","","1.577","0.000","0.000","0.434","13.300",""
"RelativeWin2Value","0","0","","25","","1.655","0.000","0.000","0.439","13.700",""
"RelativeWin3Value","0","0","","26","","1.739","0.000","0.000","0.444","14.200",""
"RelativeWin4Value","0","0","","27","","1.829","0.000","0.000","0.449","14.800",""
"RelativeWin5Value","0","0","","28","","1.921","0.000","0.000","0.454","15.400",""
"[SlopeWin0Value]","0,0","","","29","","2.018","0.000","0.000","0.459","16.000",""
"[SlopeWin1Value]","0,0","","","30","","2.119","0.000","0.000","0.464","16.600",""
"[SlopeWin2Value]","0,0","","","31","","2.222","0.000","0.000","0.469","17.300",""
"[SlopeWin3Value]","0,0","","","32","","2.333","0.000","0.000","0.474","18.200",""
"[MonitorAreaFrom]","0,0","","","33","","2.452","0.000","0.000","0.479","19.000",""
"[MonitorAreaTo]","0,0","","","34","","2.577","0.000","0.000","0.484","19.900",""
"[MeasureValue1]","0,0","","","35","","2.708","0.000","0.000","0.489","21.000",""
"[MeasureValue2]","0,0","","","36","","2.838","0.000","0.000","0.494","21.900",""
"[MeasureValue3]","0,0","","","37","","2.977","0.000","0.000","0.499","22.900",""
"[MeasureValue4]","0,0","","","38","","3.117","0.000","0.000","0.504","23.800",""
"[XMin]","0","","","39","","3.258","0.000","0.000","0.509","24.700",""
"[YMin]","0","","","40","","3.396","0.000","0.000","0.514","25.500",""
"","","","","41","","3.540","0.000","0.000","0.519","26.300",""
"","","","","42","","3.686","0.000","0.000","0.524","27.000",""
"","","","","43","","3.832","0.000","0.000","0.529","27.500",""
"","","","","44","","3.976","0.000","0.000","0.534","27.900",""
"","","","","45","","4.123","0.000","0.000","0.539","28.200",""
"","","","","46","","4.270","0.000","0.000","0.544","28.600",""
"","","","","47","","4.418","0.000","0.000","0.549","28.700",""
"","","","","48","","4.565","0.000","0.000","0.554","28.900",""
"","","","","49","","4.714","0.000","0.000","0.559","29.000",""
"","","","","50","","4.862","0.000","0.000","0.563","29.200",""
"","","","","51","","5.010","0.000","0.000","0.568","29.300",""
"","","","","52","","5.154","0.000","0.000","0.573","29.300",""
"","","","","53","","5.305","0.000","0.000","0.578","29.400",""
"","","","","54","","5.456","0.000","0.000","0.583","29.500",""
"","","","","55","","5.607","0.000","0.000","0.588","29.600",""
"","","","","56","","5.755","0.000","0.000","0.593","29.600",""
"","","","","57","","5.906","0.000","0.000","0.598","29.700",""
"","","","","58","","6.056","0.000","0.000","0.603","29.700",""
"","","","","59","","6.206","0.000","0.000","0.608","29.700",""
"","","","","60","","6.351","0.000","0.000","0.613","29.700",""
"","","","","61","","6.503","0.000","0.000","0.618","29.800",""
"","","","","62","","6.654","0.000","0.000","0.623","29.900",""
"","","","","63","","6.805","0.000","0.000","0.628","29.900",""
"","","","","64","","6.949","0.000","0.000","0.633","29.800",""
"","","","","65","","7.101","0.000","0.000","0.638","29.800",""
"","","","","66","","7.253","0.000","0.000","0.643","29.900",""
"","","","","67","","7.404","0.000","0.000","0.648","29.900",""
"","","","","68","","7.554","0.000","0.000","0.653","29.800",""
"","","","","69","","7.704","0.000","0.000","0.658","29.900",""
"","","","","70","","7.855","0.000","0.000","0.663","30.000",""
"","","","","71","","8.005","0.000","0.000","0.668","30.000",""
"","","","","72","","8.153","0.000","0.000","0.673","29.900",""
"","","","","73","","8.303","0.000","0.000","0.678","29.900",""
"","","","","74","","8.451","0.000","0.000","0.683","29.900",""
"","","","","75","","8.604","0.000","0.000","0.688","30.000",""
"","","","","76","","8.753","0.000","0.000","0.693","29.900",""
"","","","","77","","8.905","0.000","0.000","0.698","29.900",""
"","","","","78","","9.056","0.000","0.000","0.703","29.900",""
"","","","","79","","9.206","0.000","0.000","0.708","29.900",""
"","","","","80","","9.356","0.000","0.000","0.713","29.900",""
"","","","","81","","9.506","0.000","0.000","0.718","29.900",""
"","","","","82","","9.656","0.000","0.000","0.723","30.000",""
"","","","","83","","9.806","0.000","0.000","0.728","30.000",""
"","","","","84","","9.951","0.000","0.000","0.733","29.900",""
"","","","","85","","10.100","0.000","0.000","0.738","29.800",""
"","","","","86","","10.255","0.000","0.000","0.743","29.900",""
"","","","","87","","10.393","0.000","0.000","0.748","29.700",""
"","","","","88","","10.556","0.000","0.000","0.753","29.900",""
"","","","","89","","10.704","0.000","0.000","0.758","29.900",""
"","","","","90","","10.856","0.000","0.000","0.763","29.900",""
"","","","","91","","11.006","0.000","0.000","0.768","29.900",""
"","","","","92","","11.152","0.000","0.000","0.773","29.800",""
"","","","","93","","11.305","0.000","0.000","0.778","29.900",""
"","","","","94","","11.456","0.000","0.000","0.783","30.000",""
"","","","","95","","11.606","0.000","0.000","0.788","30.000",""
"","","","","96","","11.751","0.000","0.000","0.793","29.800",""
"","","","","97","","11.901","0.000","0.000","0.798","30.100",""
"","","","","98","","12.058","0.000","0.000","0.803","29.900",""
"","","","","99","","12.208","0.000","0.000","0.808","30.000",""
"","","","","100","","12.357","0.000","0.000","0.813","29.900",""
"","","","","101","","12.508","0.000","0.000","0.818","29.900",""
"","","","","102","","12.656","0.000","0.000","0.823","30.000",""
"","","","","103","","12.802","0.000","0.000","0.828","29.800",""
"","","","","104","","12.956","0.000","0.000","0.833","29.900",""
"","","","","105","","13.108","0.000","0.000","0.838","29.900",""
"","","","","106","","13.248","0.000","0.000","0.843","29.800",""
"","","","","107","","13.408","0.000","0.000","0.848","30.000",""
"","","","","108","","13.555","0.000","0.000","0.853","29.800",""
"","","","","109","","13.707","0.000","0.000","0.858","29.900",""
"","","","","110","","13.857","0.000","0.000","0.863","29.900",""
"","","","","111","","13.995","0.000","0.000","0.868","29.600",""
"","","","","112","","14.159","0.000","0.000","0.873","29.900",""
"","","","","113","","14.309","0.000","0.000","0.878","30.000",""
"","","","","114","","14.459","0.000","0.000","0.883","30.000",""
"","","","","115","","14.608","0.000","0.000","0.888","29.900",""
"","","","","116","","14.759","0.000","0.000","0.893","30.100",""
"","","","","117","","14.907","0.000","0.000","0.898","29.900",""
"","","","","118","","15.054","0.000","0.000","0.903","29.900",""
"","","","","119","","15.192","0.000","0.000","0.908","29.600",""
"","","","","120","","15.357","0.000","0.000","0.913","29.900",""
"","","","","121","","15.509","0.000","0.000","0.918","30.200",""
"","","","","122","","15.660","0.000","0.000","0.923","29.900",""
"","","","","123","","15.806","0.000","0.000","0.928","29.900",""
"","","","","124","","15.952","0.000","0.000","0.933","29.800",""
"","","","","125","","16.112","0.000","0.000","0.938","30.000",""
"","","","","126","","16.261","0.000","0.000","0.943","29.900",""
"","","","","127","","16.409","0.000","0.000","0.948","29.900",""
"","","","","128","","16.560","0.000","0.000","0.953","30.000",""
"","","","","129","","16.710","0.000","0.000","0.958","30.200",""
"","","","","130","","16.851","0.000","0.000","0.963","29.800",""
"","","","","131","","17.009","0.000","0.000","0.968","29.900",""
"","","","","132","","17.160","0.000","0.000","0.973","29.900",""
"","","","","133","","17.311","0.000","0.000","0.978","30.000",""
"","","","","134","","17.462","0.000","0.000","0.983","30.100",""
"","","","","135","","17.611","0.000","0.000","0.988","29.900",""
"","","","","136","","17.762","0.000","0.000","0.993","29.900",""
"","","","","137","","17.912","0.000","0.000","0.998","30.000",""
"","","","","138","","18.064","0.000","0.000","1.003","30.000",""
"","","","","139","","18.209","0.000","0.000","1.008","29.900",""
"","","","","140","","18.355","0.000","0.000","1.013","30.000",""
"","","","","141","","18.514","0.000","0.000","1.018","30.000",""
"","","","","142","","18.665","0.000","0.000","1.023","30.000",""
"","","","","143","","18.814","0.000","0.000","1.028","30.000",""
"","","","","144","","18.958","0.000","0.000","1.033","29.800",""
"","","","","145","","19.109","0.000","0.000","1.037","29.900",""
"","","","","146","","19.265","0.000","0.000","1.042","30.000",""
"","","","","147","","19.414","0.000","0.000","1.047","29.900",""
"","","","","148","","19.560","0.000","0.000","1.052","29.800",""
"","","","","149","","19.703","0.000","0.000","1.057","29.800",""
"","","","","150","","19.860","0.000","0.000","1.062","30.000",""
"","","","","151","","20.012","0.000","0.000","1.067","29.900",""
"","","","","152","","20.164","0.000","0.000","1.072","29.900",""
"","","","","153","","20.314","0.000","0.000","1.077","29.900",""
"","","","","154","","20.466","0.000","0.000","1.082","30.100",""
"","","","","155","","20.614","0.000","0.000","1.087","30.000",""
"","","","","156","","20.759","0.000","0.000","1.092","29.800",""
"","","","","157","","20.909","0.000","0.000","1.097","29.800",""
"","","","","158","","21.065","0.000","0.000","1.102","30.000",""
"","","","","159","","21.212","0.000","0.000","1.107","30.100",""
"","","","","160","","21.364","0.000","0.000","1.112","30.000",""
"","","","","161","","21.515","0.000","0.000","1.117","30.000",""
"","","","","162","","21.667","0.000","0.000","1.122","30.000",""
"","","","","163","","21.816","0.000","0.000","1.127","29.900",""
"","","","","164","","21.967","0.000","0.000","1.132","29.900",""
"","","","","165","","22.117","0.000","0.000","1.137","30.000",""
"","","","","166","","22.266","0.000","0.000","1.142","30.000",""
"","","","","167","","22.415","0.000","0.000","1.147","30.000",""
"","","","","168","","22.559","0.000","0.000","1.152","29.800",""
"","","","","169","","22.710","0.000","0.000","1.157","29.900",""
"","","","","170","","22.867","0.000","0.000","1.162","30.000",""
"","","","","171","","23.016","0.000","0.000","1.167","29.900",""
"","","","","172","","23.167","0.000","0.000","1.172","29.900",""
"","","","","173","","23.317","0.000","0.000","1.177","29.900",""
"","","","","174","","23.468","0.000","0.000","1.182","29.900",""
"","","","","175","","23.610","0.000","0.000","1.187","29.800",""
"","","","","176","","23.764","0.000","0.000","1.192","29.900",""
"","","","","177","","23.916","0.000","0.000","1.197","29.900",""
"","","","","178","","24.057","0.000","0.000","1.202","29.900",""
"","","","","179","","24.214","0.000","0.000","1.207","30.000",""
"","","","","180","","24.365","0.000","0.000","1.212","29.900",""
"","","","","181","","24.519","0.000","0.000","1.217","30.000",""
"","","","","182","","24.670","0.000","0.000","1.222","30.000",""
"","","","","183","","24.819","0.000","0.000","1.227","29.900",""
"","","","","184","","24.970","0.000","0.000","1.232","29.900",""
"","","","","185","","25.118","0.000","0.000","1.237","30.100",""
"","","","","186","","25.270","0.000","0.000","1.242","30.000",""
"","","","","187","","25.418","0.000","0.000","1.247","29.900",""
"","","","","188","","25.570","0.000","0.000","1.252","30.200",""
"","","","","189","","25.717","0.000","0.000","1.257","30.000",""
"","","","","190","","25.869","0.000","0.000","1.262","30.000",""
"","","","","191","","26.019","0.000","0.000","1.267","29.900",""
"","","","","192","","26.163","0.000","0.000","1.272","29.800",""
"","","","","193","","26.316","0.000","0.000","1.277","29.800",""
"","","","","194","","26.471","0.000","0.000","1.282","29.900",""
"","","","","195","","26.620","0.000","0.000","1.287","29.900",""
"","","","","196","","26.770","0.000","0.000","1.292","29.900",""
"","","","","197","","26.912","0.000","0.000","1.297","29.800",""
"","","","","198","","27.071","0.000","0.000","1.302","29.900",""
"","","","","199","","27.221","0.000","0.000","1.307","30.000",""
"","","","","200","","27.372","0.000","0.000","1.312","30.000",""
"","","","","201","","27.522","0.000","0.000","1.317","30.000",""
"","","","","202","","27.672","0.000","0.000","1.322","30.100",""
"","","","","203","","27.821","0.000","0.000","1.327","30.000",""
"","","","","204","","27.966","0.000","0.000","1.332","29.800",""
"","","","","205","","28.118","0.000","0.000","1.337","29.900",""
"","","","","206","","28.272","0.000","0.000","1.342","30.000",""
"","","","","207","","28.419","0.000","0.000","1.347","30.000",""
"","","","","208","","28.568","0.000","0.000","1.352","29.800",""
"","","","","209","","28.720","0.000","0.000","1.357","29.900",""
"","","","","210","","28.872","0.000","0.000","1.362","29.900",""
"","","","","211","","29.022","0.000","0.000","1.367","29.900",""
"","","","","212","","29.172","0.000","0.000","1.372","29.900",""
"","","","","213","","29.323","0.000","0.000","1.377","29.900",""
"","","","","214","","29.472","0.000","0.000","1.382","30.000",""
