"ProgramID","1","CurveVersion","K100"
"ProgramName",""
"DateTime","2020/09/25 15:10:40"
"XAxisUnit","mm"
"YAxisUnit","kN"
"Result","OK","",""
"Tolerance Windows","-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,60000,0,50000,1,4,0,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"ProductSN","580181005"
"ComponentSN",""
"[NormalWindows0MinPositionPoint]","0,0"
"[NormalWindows0MaxPositionPoint]","0,0"
"[NormalWindows0MinForcePoint]","0,0","","","Index","BLANK","Position","Force","Analog","Time","Speed",""
"[NormalWindows0MaxForcePoint]","0,0","","","0","","0.000","0.000","0.000","0.000","0.000",""
"[NormalWindows1MinPositionPoint]","0,0","","","1","","0.073","0.000","0.000","0.294","1.400",""
"[NormalWindows1MaxPositionPoint]","0,0","","","2","","0.134","0.000","0.000","0.304","2.600",""
"[NormalWindows1MinForcePoint]","0,0","","","3","","0.202","0.000","0.000","0.314","4.000",""
"[NormalWindows1MaxForcePoint]","0,0","","","4","","0.276","0.000","0.000","0.324","5.400",""
"[NormalWindows2MinPositionPoint]","0,0","","","5","","0.356","0.000","0.000","0.334","6.500",""
"[NormalWindows2MaxPositionPoint]","0,0","","","6","","0.441","0.000","0.000","0.344","7.300",""
"[NormalWindows2MinForcePoint]","0,0","","","7","","0.533","0.000","0.000","0.354","7.900",""
"[NormalWindows2MaxForcePoint]","0,0","","","8","","0.629","0.000","0.000","0.364","8.400",""
"[NormalWindows3MinPositionPoint]","0,0","","","9","","0.730","0.000","0.000","0.374","9.000",""
"[NormalWindows3MaxPositionPoint]","0,0","","","10","","0.783","0.000","0.000","0.379","9.200",""
"[NormalWindows3MinForcePoint]","0,0","","","11","","0.837","0.000","0.000","0.384","9.500",""
"[NormalWindows3MaxForcePoint]","0,0","","","12","","0.894","0.000","0.000","0.389","9.800",""
"[UpLimitWindowMinPositionPoint]","0,0","","","13","","0.952","0.000","0.000","0.394","10.100",""
"[UpLimitWindowMaxPositionPoint]","0,0","","","14","","1.009","0.000","0.000","0.399","10.400",""
"[UpLimitWindowMinForcePoint]","0,0","","","15","","1.068","0.000","0.000","0.404","10.600",""
"[UpLimitWindowMaxForcePoint]","0,0","","","16","","1.132","0.000","0.000","0.408","10.900",""
"[LowLimitWindowMinPositionPoint]","0,0","","","17","","1.199","0.000","0.000","0.413","11.300",""
"[LowLimitWindowMaxPositionPoint]","0,0","","","18","","1.260","0.000","0.000","0.418","11.500",""
"[LowLimitWindowMinForcePoint]","0,0","","","19","","1.336","0.000","0.000","0.423","12.000",""
"[LowLimitWindowMaxForcePoint]","0,0","","","20","","1.409","0.000","0.000","0.428","12.400",""
"[XMax]","40.791","","","21","","1.484","0.000","0.000","0.433","12.800",""
"[YMax]","19.901","","","22","","1.561","0.000","0.000","0.438","13.300",""
"RelativeWin0Value","0","0","","23","","1.642","0.000","0.000","0.443","13.700",""
"RelativeWin1Value","0","0","","24","","1.721","0.000","0.000","0.448","14.100",""
"RelativeWin2Value","0","0","","25","","1.813","0.000","0.000","0.453","14.800",""
"RelativeWin3Value","0","0","","26","","1.903","0.000","0.000","0.458","15.300",""
"RelativeWin4Value","0","0","","27","","1.999","0.000","0.000","0.463","15.900",""
"RelativeWin5Value","0","0","","28","","2.097","0.000","0.000","0.468","16.600",""
"[SlopeWin0Value]","0,0","","","29","","2.203","0.000","0.000","0.473","17.200",""
"[SlopeWin1Value]","0,0","","","30","","2.313","0.000","0.000","0.478","18.000",""
"[SlopeWin2Value]","0,0","","","31","","2.430","0.000","0.000","0.483","18.800",""
"[SlopeWin3Value]","0,0","","","32","","2.554","0.000","0.000","0.488","19.700",""
"[MonitorAreaFrom]","0,0","","","33","","2.680","0.000","0.000","0.493","20.700",""
"[MonitorAreaTo]","0,0","","","34","","2.814","0.000","0.000","0.498","21.700",""
"[MeasureValue1]","0,0","","","35","","2.950","0.000","0.000","0.503","22.600",""
"[MeasureValue2]","0,0","","","36","","3.089","0.000","0.000","0.508","23.600",""
"[MeasureValue3]","0,0","","","37","","3.229","0.000","0.000","0.513","24.500",""
"[MeasureValue4]","0,0","","","38","","3.367","0.000","0.000","0.518","25.300",""
"[XMin]","0","","","39","","3.512","0.000","0.000","0.523","26.100",""
"[YMin]","0","","","40","","3.657","0.000","0.000","0.528","26.800",""
"","","","","41","","3.803","0.000","0.000","0.533","27.300",""
"","","","","42","","3.944","0.000","0.000","0.538","27.700",""
"","","","","43","","4.091","0.000","0.000","0.543","28.100",""
"","","","","44","","4.240","0.000","0.000","0.548","28.400",""
"","","","","45","","4.388","0.000","0.000","0.553","28.700",""
"","","","","46","","4.532","0.000","0.000","0.558","28.700",""
"","","","","47","","4.679","0.000","0.000","0.563","28.900",""
"","","","","48","","4.829","0.000","0.000","0.568","29.100",""
"","","","","49","","4.980","0.000","0.000","0.573","29.300",""
"","","","","50","","5.128","0.000","0.000","0.578","29.300",""
"","","","","51","","5.279","0.000","0.000","0.583","29.400",""
"","","","","52","","5.426","0.000","0.000","0.588","29.500",""
"","","","","53","","5.576","0.000","0.000","0.593","29.600",""
"","","","","54","","5.724","0.000","0.000","0.598","29.600",""
"","","","","55","","5.875","0.000","0.000","0.603","29.600",""
"","","","","56","","6.024","0.000","0.000","0.608","29.700",""
"","","","","57","","6.172","0.000","0.000","0.613","29.800",""
"","","","","58","","6.323","0.000","0.000","0.618","29.800",""
"","","","","59","","6.474","0.000","0.000","0.623","29.800",""
"","","","","60","","6.624","0.000","0.000","0.628","29.800",""
"","","","","61","","6.776","0.000","0.000","0.633","29.900",""
"","","","","62","","6.920","0.000","0.000","0.638","29.800",""
"","","","","63","","7.072","0.000","0.000","0.643","29.800",""
