"ProgramID","1","CurveVersion","K100"
"ProgramName",""
"DateTime","2020/09/25 11:34:52"
"XAxisUnit","mm"
"YAxisUnit","kN"
"Result","OK","",""
"Tolerance Windows","-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,60000,0,50000,1,4,0,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"ProductSN","580181005"
"ComponentSN",""
"[NormalWindows0MinPositionPoint]","0,0"
"[NormalWindows0MaxPositionPoint]","0,0"
"[NormalWindows0MinForcePoint]","0,0","","","Index","BLANK","Position","Force","Analog","Time","Speed",""
"[NormalWindows0MaxForcePoint]","0,0","","","0","","0.000","0.000","0.000","0.001","0.000",""
"[NormalWindows1MinPositionPoint]","0,0","","","1","","0.067","0.000","0.000","0.289","1.300",""
"[NormalWindows1MaxPositionPoint]","0,0","","","2","","0.127","0.000","0.000","0.299","2.500",""
"[NormalWindows1MinForcePoint]","0,0","","","3","","0.194","0.000","0.000","0.309","3.800",""
"[NormalWindows1MaxForcePoint]","0,0","","","4","","0.268","0.000","0.000","0.319","5.300",""
"[NormalWindows2MinPositionPoint]","0,0","","","5","","0.348","0.000","0.000","0.329","6.500",""
"[NormalWindows2MaxPositionPoint]","0,0","","","6","","0.432","0.000","0.000","0.339","7.200",""
"[NormalWindows2MinForcePoint]","0,0","","","7","","0.524","0.000","0.000","0.349","7.800",""
"[NormalWindows2MaxForcePoint]","0,0","","","8","","0.619","0.000","0.000","0.359","8.400",""
"[NormalWindows3MinPositionPoint]","0,0","","","9","","0.720","0.000","0.000","0.369","9.000",""
"[NormalWindows3MaxPositionPoint]","0,0","","","10","","0.772","0.000","0.000","0.374","9.200",""
"[NormalWindows3MinForcePoint]","0,0","","","11","","0.826","0.000","0.000","0.379","9.500",""
"[NormalWindows3MaxForcePoint]","0,0","","","12","","0.882","0.000","0.000","0.384","9.800",""
"[UpLimitWindowMinPositionPoint]","0,0","","","13","","0.940","0.000","0.000","0.389","10.100",""
"[UpLimitWindowMaxPositionPoint]","0,0","","","14","","0.999","0.000","0.000","0.394","10.300",""
"[UpLimitWindowMinForcePoint]","0,0","","","15","","1.058","0.000","0.000","0.399","10.600",""
"[UpLimitWindowMaxForcePoint]","0,0","","","16","","1.120","0.000","0.000","0.404","11.000",""
"[LowLimitWindowMinPositionPoint]","0,0","","","17","","1.188","0.000","0.000","0.409","11.300",""
"[LowLimitWindowMaxPositionPoint]","0,0","","","18","","1.254","0.000","0.000","0.414","11.600",""
"[LowLimitWindowMinForcePoint]","0,0","","","19","","1.320","0.000","0.000","0.419","11.900",""
"[LowLimitWindowMaxForcePoint]","0,0","","","20","","1.395","0.000","0.000","0.424","12.400",""
"[XMax]","40.883","","","21","","1.470","0.000","0.000","0.429","12.800",""
"[YMax]","19.901","","","22","","1.547","0.000","0.000","0.434","13.200",""
"RelativeWin0Value","0","0","","23","","1.626","0.000","0.000","0.439","13.600",""
"RelativeWin1Value","0","0","","24","","1.709","0.000","0.000","0.444","14.100",""
"RelativeWin2Value","0","0","","25","","1.796","0.000","0.000","0.449","14.700",""
"RelativeWin3Value","0","0","","26","","1.887","0.000","0.000","0.454","15.200",""
"RelativeWin4Value","0","0","","27","","1.980","0.000","0.000","0.459","15.700",""
"RelativeWin5Value","0","0","","28","","2.079","0.000","0.000","0.464","16.400",""
"[SlopeWin0Value]","0,0","","","29","","2.183","0.000","0.000","0.469","17.200",""
"[SlopeWin1Value]","0,0","","","30","","2.290","0.000","0.000","0.474","17.800",""
"[SlopeWin2Value]","0,0","","","31","","2.406","0.000","0.000","0.479","18.600",""
"[SlopeWin3Value]","0,0","","","32","","2.529","0.000","0.000","0.484","19.600",""
"[MonitorAreaFrom]","0,0","","","33","","2.657","0.000","0.000","0.489","20.600",""
"[MonitorAreaTo]","0,0","","","34","","2.790","0.000","0.000","0.494","21.500",""
"[MeasureValue1]","0,0","","","35","","2.925","0.000","0.000","0.499","22.500",""
"[MeasureValue2]","0,0","","","36","","3.064","0.000","0.000","0.504","23.500",""
"[MeasureValue3]","0,0","","","37","","3.204","0.000","0.000","0.509","24.400",""
"[MeasureValue4]","0,0","","","38","","3.346","0.000","0.000","0.514","25.300",""
"[XMin]","0","","","39","","3.487","0.000","0.000","0.519","26.000",""
"[YMin]","0","","","40","","3.631","0.000","0.000","0.524","26.700",""
"","","","","41","","3.776","0.000","0.000","0.529","27.300",""
"","","","","42","","3.921","0.000","0.000","0.534","27.700",""
"","","","","43","","4.065","0.000","0.000","0.539","28.100",""
"","","","","44","","4.213","0.000","0.000","0.544","28.400",""
"","","","","45","","4.360","0.000","0.000","0.549","28.600",""
"","","","","46","","4.509","0.000","0.000","0.554","28.800",""
"","","","","47","","4.656","0.000","0.000","0.559","28.900",""
"","","","","48","","4.804","0.000","0.000","0.564","29.000",""
"","","","","49","","4.953","0.000","0.000","0.569","29.200",""
"","","","","50","","5.101","0.000","0.000","0.574","29.300",""
"","","","","51","","5.250","0.000","0.000","0.579","29.400",""
"","","","","52","","5.400","0.000","0.000","0.584","29.500",""
"","","","","53","","5.549","0.000","0.000","0.589","29.600",""
"","","","","54","","5.698","0.000","0.000","0.594","29.600",""
"","","","","55","","5.848","0.000","0.000","0.599","29.600",""
"","","","","56","","5.998","0.000","0.000","0.604","29.700",""
"","","","","57","","6.149","0.000","0.000","0.609","29.800",""
"","","","","58","","6.296","0.000","0.000","0.614","29.700",""
"","","","","59","","6.447","0.000","0.000","0.619","29.800",""
"","","","","60","","6.597","0.000","0.000","0.624","29.800",""
"","","","","61","","6.748","0.000","0.000","0.629","29.900",""
"","","","","62","","6.896","0.000","0.000","0.634","29.800",""
"","","","","63","","7.045","0.000","0.000","0.639","29.800",""
"","","","","64","","7.196","0.000","0.000","0.644","29.900",""
"","","","","65","","7.347","0.000","0.000","0.649","29.900",""
"","","","","66","","7.492","0.000","0.000","0.654","29.800",""
"","","","","67","","7.644","0.000","0.000","0.659","29.800",""
"","","","","68","","7.796","0.000","0.000","0.664","29.900",""
"","","","","69","","7.947","0.000","0.000","0.669","29.900",""
"","","","","70","","8.096","0.000","0.000","0.674","29.900",""
"","","","","71","","8.246","0.000","0.000","0.679","29.900",""
"","","","","72","","8.397","0.000","0.000","0.684","29.900",""
"","","","","73","","8.547","0.000","0.000","0.689","29.900",""
"","","","","74","","8.696","0.000","0.000","0.694","29.900",""
"","","","","75","","8.848","0.000","0.000","0.699","29.900",""
"","","","","76","","8.997","0.000","0.000","0.704","30.000",""
"","","","","77","","9.148","0.000","0.000","0.708","30.000",""
"","","","","78","","9.297","0.000","0.000","0.713","29.900",""
"","","","","79","","9.448","0.000","0.000","0.718","29.900",""
"","","","","80","","9.598","0.000","0.000","0.723","30.000",""
"","","","","81","","9.749","0.000","0.000","0.728","30.000",""
"","","","","82","","9.897","0.000","0.000","0.733","29.900",""
"","","","","83","","10.048","0.000","0.000","0.738","29.900",""
"","","","","84","","10.198","0.000","0.000","0.743","30.000",""
"","","","","85","","10.349","0.000","0.000","0.748","29.900",""
"","","","","86","","10.498","0.000","0.000","0.753","29.900",""
"","","","","87","","10.648","0.000","0.000","0.758","29.900",""
"","","","","88","","10.799","0.000","0.000","0.763","29.900",""
"","","","","89","","10.950","0.000","0.000","0.768","29.900",""
"","","","","90","","11.098","0.000","0.000","0.773","29.900",""
"","","","","91","","11.249","0.000","0.000","0.778","29.900",""
"","","","","92","","11.400","0.000","0.000","0.783","30.000",""
"","","","","93","","11.551","0.000","0.000","0.788","30.000",""
"","","","","94","","11.700","0.000","0.000","0.793","29.900",""
"","","","","95","","11.848","0.000","0.000","0.798","29.900",""
"","","","","96","","12.000","0.000","0.000","0.803","29.900",""
"","","","","97","","12.151","0.000","0.000","0.808","30.000",""
"","","","","98","","12.300","0.000","0.000","0.813","29.900",""
"","","","","99","","12.451","0.000","0.000","0.818","29.900",""
"","","","","100","","12.601","0.000","0.000","0.823","30.000",""
"","","","","101","","12.752","0.000","0.000","0.828","30.000",""
"","","","","102","","12.899","0.000","0.000","0.833","29.900",""
"","","","","103","","13.051","0.000","0.000","0.838","29.900",""
"","","","","104","","13.201","0.000","0.000","0.843","29.900",""
"","","","","105","","13.352","0.000","0.000","0.848","30.000",""
"","","","","106","","13.500","0.000","0.000","0.853","29.900",""
"","","","","107","","13.645","0.000","0.000","0.858","29.800",""
"","","","","108","","13.795","0.000","0.000","0.863","29.800",""
"","","","","109","","13.940","0.000","0.000","0.868","29.700",""
"","","","","110","","14.101","0.000","0.000","0.873","29.900",""
"","","","","111","","14.252","0.000","0.000","0.878","29.900",""
"","","","","112","","14.403","0.000","0.000","0.883","30.000",""
"","","","","113","","14.554","0.000","0.000","0.888","30.000",""
"","","","","114","","14.700","0.000","0.000","0.893","29.900",""
"","","","","115","","14.852","0.000","0.000","0.898","29.900",""
